Year,Ireland % Change in Production,Spain% Change in Production,France % Change in Production,Ireland % Change in Nutrient Balance,Spain % Change in Nutrient Balance,France % Change in Nutrient Balance,Ireland % Change in Labor Input,Spain% Change in Labor Input,France % Change in Labor Input
1991,-3.959618305,1.140692314,-5.15,0,-3.333333333,-16.9,-10.67656878,-6.012606577,-4.381590197
1992,8.603737344,-8.430644045,3.09,0,0,3.39,-1.067887109,-2.749592729,-4.306683556
1993,-0.447907399,-5.601965636,-1.33,13.20754717,-17.24137931,-16.39,-2.852737086,-4.196357205,-5.325858444
1994,3.585840075,5.461498508,5.21,11.66666667,33.33333333,3.92,-3.055555556,-1.106801459,-3.511801957
1995,1.590632593,1.005086998,4.91,7.462686567,6.25,3.77,-5.157593123,-1.098546042,-2.983293556
1996,4.470884947,13.47230215,2.98,2.777777778,-2.941176471,5.45,0.215796288,0.271334713,-2.591811632
1997,-0.457532118,2.205108465,-0.01,-10.81081081,-9.090909091,-8.62,-7.708871662,1.114982578,-2.51646072
1998,-3.626596803,0.806235997,1.83,22.72727273,10,-3.77,-2.519832011,3.862092422,-1.822723908
1999,-3.254809116,-0.978601931,-1.5,-2.469135802,18.18181818,7.84,-8.233604596,-4.108857138,-1.658656112
2000,5.912538177,7.619503846,1.78,-9.873417722,3.076923077,-22.55,-10.43296818,-1.014612578,-1.447053186
2001,1.358946257,6.134726342,1.34,-9.831460674,0.746268657,16.2,-10.71636575,-0.246039312,-2.635161416
2002,-3.80377988,1.450168082,-0.44,1.557632399,-12.34567901,-20,3.261578604,-2.678522671,-2.466793169
2003,2.44050383,7.907310583,-2.03,8.282208589,11.26760563,54.04,3.727100442,-4.362626367,-2.396067991
2004,2.984016111,-1.2616865,3.76,-6.515580737,-9.367088608,-41.64,-2.557856273,0.928949993,-2.43390684
2005,-7.247617315,-4.86365791,-1.93,-3.333333333,6.983240223,33.15,-7.125,-1.446481166,-2.387096774
2006,-4.272163259,-6.119192367,-4.37,-3.918495298,-6.788511749,-17.09,2.893674293,-0.387326367,-2.379378718
2007,9.305762871,14.29318838,9.63,-12.88743883,-3.361344538,-12.47,-1.765860039,-1.486247767,-2.155269691
2008,2.804647022,-2.118938556,2.73,-36.1423221,-22.31884058,3.49,-1.531291611,1.419512537,-2.237342867
2009,-18.37871539,-8.760874782,-7.52,2.052785924,16.04477612,-16.29,-0.946585531,-8.92631371,-2.371121859
2010,16.11421574,6.391809359,6.83,28.16091954,13.18327974,21.81,13.03754266,4.526967669,-2.23537941
2011,12.95055471,1.467730561,7.21,-36.77130045,-16.19318182,35.26,0,-6.27328097,-1.186503522
2012,3.972493792,2.418750645,4.85,24.46808511,13.89830508,-52.14,-0.084541063,-1.512216183,-1.413383365
2013,12.20119347,5.029565348,-3.13,43.58974359,-14.58333333,26.38,-1.099963737,-5.392008093,-0.913473738
2014,-4.922296003,-0.16089995,1.55,-9.325396825,37.28222997,-0.34,0,-3.76271267,-0.832266325
2015,1.51320092,3.746554908,-0.16,4.595185996,-2.284263959,26.01,-0.006110975,-1.170355922,-1.665590704
2016,0.540640557,6.068138995,-6.28,13.17991632,1.298701299,27.35,-1.790625191,3.620101683,-1.141018908
2017,14.62881891,4.604555683,3.78,15.15711645,26.41025641,-29.05,-0.896079652,7.312750901,-0.962930496
