% Change in Production,% Change in Nutrient Balance,% Change in Labor Input,Country
-3.959618305,0,-10.67656878,1
8.603737344,0,-1.067887109,1
-0.447907399,13.20754717,-2.852737086,1
3.585840075,11.66666667,-3.055555556,1
1.590632593,7.462686567,-5.157593123,1
4.470884947,2.777777778,0.215796288,1
-0.457532118,-10.81081081,-7.708871662,1
-3.626596803,22.72727273,-2.519832011,1
-3.254809116,-2.469135802,-8.233604596,1
5.912538177,-9.873417722,-10.43296818,1
1.358946257,-9.831460674,-10.71636575,1
-3.80377988,1.557632399,3.261578604,1
2.44050383,8.282208589,3.727100442,1
2.984016111,-6.515580737,-2.557856273,1
-7.247617315,-3.333333333,-7.125,1
-4.272163259,-3.918495298,2.893674293,1
9.305762871,-12.88743883,-1.765860039,1
2.804647022,-36.1423221,-1.531291611,1
-18.37871539,2.052785924,-0.946585531,1
16.11421574,28.16091954,13.03754266,1
12.95055471,-36.77130045,0,1
3.972493792,24.46808511,-0.084541063,1
12.20119347,43.58974359,-1.099963737,1
-4.922296003,-9.325396825,0,1
1.51320092,4.595185996,-0.006110975,1
0.540640557,13.17991632,-1.790625191,1
14.62881891,15.15711645,-0.896079652,1
1.140692314,-3.333333333,-6.012606577,2
-8.430644045,0,-2.749592729,2
-5.601965636,-17.24137931,-4.196357205,2
5.461498508,33.33333333,-1.106801459,2
1.005086998,6.25,-1.098546042,2
13.47230215,-2.941176471,0.271334713,2
2.205108465,-9.090909091,1.114982578,2
0.806235997,10,3.862092422,2
-0.978601931,18.18181818,-4.108857138,2
7.619503846,3.076923077,-1.014612578,2
6.134726342,0.746268657,-0.246039312,2
1.450168082,-12.34567901,-2.678522671,2
7.907310583,11.26760563,-4.362626367,2
-1.2616865,-9.367088608,0.928949993,2
-4.86365791,6.983240223,-1.446481166,2
-6.119192367,-6.788511749,-0.387326367,2
14.29318838,-3.361344538,-1.486247767,2
-2.118938556,-22.31884058,1.419512537,2
-8.760874782,16.04477612,-8.92631371,2
6.391809359,13.18327974,4.526967669,2
1.467730561,-16.19318182,-6.27328097,2
2.418750645,13.89830508,-1.512216183,2
5.029565348,-14.58333333,-5.392008093,2
-0.16089995,37.28222997,-3.76271267,2
3.746554908,-2.284263959,-1.170355922,2
6.068138995,1.298701299,3.620101683,2
4.604555683,26.41025641,7.312750901,2
-5.15,-16.9,-4.381590197,3
3.09,3.39,-4.306683556,3
-1.33,-16.39,-5.325858444,3
5.21,3.92,-3.511801957,3
4.91,3.77,-2.983293556,3
2.98,5.45,-2.591811632,3
-0.01,-8.62,-2.51646072,3
1.83,-3.77,-1.822723908,3
-1.5,7.84,-1.658656112,3
1.78,-22.55,-1.447053186,3
1.34,16.2,-2.635161416,3
-0.44,-20,-2.466793169,3
-2.03,54.04,-2.396067991,3
3.76,-41.64,-2.43390684,3
-1.93,33.15,-2.387096774,3
-4.37,-17.09,-2.379378718,3
9.63,-12.47,-2.155269691,3
2.73,3.49,-2.237342867,3
-7.52,-16.29,-2.371121859,3
6.83,21.81,-2.23537941,3
7.21,35.26,-1.186503522,3
4.85,-52.14,-1.413383365,3
-3.13,26.38,-0.913473738,3
1.55,-0.34,-0.832266325,3
-0.16,26.01,-1.665590704,3
-6.28,27.35,-1.141018908,3
3.78,-29.05,-0.962930496,3
