% Change in Labor Input,% Change in Nutrient Balance,% Change in Production
-10.67656878,0,-3.959618305
-1.067887109,0,8.603737344
-2.852737086,13.20754717,-0.447907399
-3.055555556,11.66666667,3.585840075
-5.157593123,7.462686567,1.590632593
0.215796288,2.777777778,4.470884947
-7.708871662,-10.81081081,-0.457532118
-2.519832011,22.72727273,-3.626596803
-8.233604596,-2.469135802,-3.254809116
-10.43296818,-9.873417722,5.912538177
-10.71636575,-9.831460674,1.358946257
3.261578604,1.557632399,-3.80377988
3.727100442,8.282208589,2.44050383
-2.557856273,-6.515580737,2.984016111
-7.125,-3.333333333,-7.247617315
2.893674293,-3.918495298,-4.272163259
-1.765860039,-12.88743883,9.305762871
-1.531291611,-36.1423221,2.804647022
-0.946585531,2.052785924,-18.37871539
13.03754266,28.16091954,16.11421574
0,-36.77130045,12.95055471
-0.084541063,24.46808511,3.972493792
-1.099963737,43.58974359,12.20119347
0,-9.325396825,-4.922296003
-0.006110975,4.595185996,1.51320092
-1.790625191,13.17991632,0.540640557
-0.896079652,15.15711645,14.62881891
-6.012606577,-3.333333333,1.140692314
-2.749592729,0,-8.430644045
-4.196357205,-17.24137931,-5.601965636
-1.106801459,33.33333333,5.461498508
-1.098546042,6.25,1.005086998
0.271334713,-2.941176471,13.47230215
1.114982578,-9.090909091,2.205108465
3.862092422,10,0.806235997
-4.108857138,18.18181818,-0.978601931
-1.014612578,3.076923077,7.619503846
-0.246039312,0.746268657,6.134726342
-2.678522671,-12.34567901,1.450168082
-4.362626367,11.26760563,7.907310583
0.928949993,-9.367088608,-1.2616865
-1.446481166,6.983240223,-4.86365791
-0.387326367,-6.788511749,-6.119192367
-1.486247767,-3.361344538,14.29318838
1.419512537,-22.31884058,-2.118938556
-8.92631371,16.04477612,-8.760874782
4.526967669,13.18327974,6.391809359
-6.27328097,-16.19318182,1.467730561
-1.512216183,13.89830508,2.418750645
-5.392008093,-14.58333333,5.029565348
-3.76271267,37.28222997,-0.16089995
-1.170355922,-2.284263959,3.746554908
3.620101683,1.298701299,6.068138995
7.312750901,26.41025641,4.604555683
-4.381590197,-16.9,-5.15
-4.306683556,3.39,3.09
-5.325858444,-16.39,-1.33
-3.511801957,3.92,5.21
-2.983293556,3.77,4.91
-2.591811632,5.45,2.98
-2.51646072,-8.62,-0.01
-1.822723908,-3.77,1.83
-1.658656112,7.84,-1.5
-1.447053186,-22.55,1.78
-2.635161416,16.2,1.34
-2.466793169,-20,-0.44
-2.396067991,54.04,-2.03
-2.43390684,-41.64,3.76
-2.387096774,33.15,-1.93
-2.379378718,-17.09,-4.37
-2.155269691,-12.47,9.63
-2.237342867,3.49,2.73
-2.371121859,-16.29,-7.52
-2.23537941,21.81,6.83
-1.186503522,35.26,7.21
-1.413383365,-52.14,4.85
-0.913473738,26.38,-3.13
-0.832266325,-0.34,1.55
-1.665590704,26.01,-0.16
-1.141018908,27.35,-6.28
-0.962930496,-29.05,3.78
