No of Spaces,Amount Paid,Test new version
2,82,
5,152,
3,114,
4,152,
4,152,
12,152,
2,61,
2,456,
6,200,
6,,
6,,
4,152,
4,,
4,152,
5,190,
8,608,
5,5510,
4,912,
4,152,
4,912,
2,456,
2,456,
4,912,
5,190,
5,152,
6,228,
4,122,
4,122,
8,201,
4,152,
1,30,
1,38,
7,266,
7,266,
5,10400,
3,0,
2,456,
2,912,
4,122,
4,122,
4,152,
2,76,
2,76,
5,0,
2,456,
4,912,
3,114,
6,0,
2,0,
6,0,
2,266,
4,304,
5,0,
2,456,
4,912,
3,114,
2,76,
4,,
4,142,
2,380,
4,760,
3,,
3,,
4,122,
4,122,
4,122,
4,152,
4,152,
4,152,
2,152,
5,0,
3,114,
8,304,
3,114,
6,0,
5,0,
2,456,
4,912,
9,342,
1,30,
4,152,
3,0,
1,30,
2,456,
4,912,
5,190,
1,91,
1,30,
5,190,
10,304,
9,274,
5,190,
5,8550,
2,456,
4,912,
8,152,
3,114,
2,0,
8,608,
4,152,
19,578,
3,114,
2,76,
7,266,
2,380,
7,213,
3,76,
6,228,
10,304,
6,152,
6,456,
5,380,
7,0,
4,152,
3,0,
25,950,
25,2850,
8,304,
8,912,
22,1672,
22,836,
3,0,
6,182,
4,122,
6,228,
22,669,
2,380,
2,380,
6,0,
3,0,
22,669,
5,3470,
10,912,
2,380,
3,0,
4,152,
4,152,
4,101,
4,101,
4,101,
4,101,
3,0,
4,152,
4,101,
4,101,
3,0,
5,0,
4,152,
6,228,
2,380,
,,
,,
6,,
4,456,
8,912,
10,304,
2,61,
4,122,
5,152,
6,182,
8,243,
4,122,
10,190,
5,1330,
5,152,
5,570,
3,0,
2,304,
3,0,
4,0,
4,608,
4,304,
8,243,
20,608,
4,101,
4,202,
4,0,
4,101,
3,0,
3,91,
3,91,
2,456,
4,912,
7,0,
6,228,
3,114,
4,912,
4,152,
6,114,
3,0,
5,0,
6,0,
6,0,
4,76,
5,0,
2,380,
5,0,
1,1400,
2,456,
4,152,
4,122,
4,76,
4,152,
4,608,
3,0,
3,0,
2,532,
4,152,
2,76,
4,608,
4,5168,
2,0,
6,456,
4,304,
12,1368,
3,304,
20,380,
3,228,
22,760,
2,988,
4,152,
2,730,
2,228,
6,228,
4,760,
4,76,
24,456,
4,152,
4,152,
4,152,
4,152,
4,152,
6,0,
4,152,
6,0,
4,760,
4,760,
2,380,
4,152,
4,122,
6,228,
12,0,
2,304,
10,380,
4,1064,
4,1064,
2,532,
3,114,
3,114,
3,114,
4,608,
1,1400,
5,152,
7,3192,
7,0,
3,114,
4,912,
4,912,
2,456,
3,0,
6,0,
2,61,
10,152,
6,253,
6,228,
6,182,
4,152,
4,152,
2,101,
4,152,
4,152,
3,114,
4,152,
3,0,
4,0,
2,152,
16,608,
5,152,
4,152,
3,114,
5,190,
6,182,
6,228,
7,266,
4,912,
4,912,
2,1976,
4,912,
4,912,
2,456,
4,101,
4,151,
6,228,
6,228,
4,243,
4,1064,
4,1064,
16,608,
2,0,
2,0,
2,456,
2,456,
0,0,
2,532,
5,380,
7,266,
7,0,
4,152,
4,152,
6,228,
12,456,
1,152,
4,152,
4,152,
2,152,
2,152,
4,912,
2,456,
4,912,
4,5776,
4,121,
3,114,
2,76,
3,285,
3,285,
4,152,
4,152,
4,122,
4,912,
2,456,
4,912,
3,0,
4,152,
5,280,
4,122,
4,122,
4,122,
4,122,
4,122,
6,456,
8,304,
7,213,
8,243,
5,152,
3,114,
4,152,
4,760,
4,760,
8,152,
4,304,
5,190,
2,0,
5,0,
5,0,
1,38,
4,608,
4,608,
3,114,
1,76,
5,0,
4,760,
4,760,
2,61,
6,182,
2,76,
3,570,
2,61,
8,202,
8,304,
2,,
